EXAM_YEAR_ID;SEMESTER;EXAM DATE;EXAM_STATUS_ID;CODE;NAME;TEACHERS SCIPERS;CONTACTS SCIPER;SERVICE_LEVEL_ID;RESPONSABLE;NB STUDENTS;NB PAGES;TOTAL PAGES;SERVICE_TYPE_ID;EXAM_TYPE_ID;DEADLINE PREP;DEADLINE REPRO;REMARK;SECTION
2;1;22.11.18;15;CS-119(c);Information, Calcul et Communication Examen II;112547;;1;283365;316;12;3792;1;1;;;Scan qrcode et génération pdf et liste étudiants;IC
2;1;22.01.19;15;ENG-383;Droit de l’architecte, introduction : contrats et concours;111310,112780;;1;283365;270;12;3240;4;1;;;;Other
2;1;21.12.18;15;EE-100;Électrotechnique I (lab);106775;;1;283365;301;1;301;2;1;;;;EL
2;1;21.01.19;15;MATH-111(a);Algèbre linéaire (a);101466;;1;283365;194;16;3104;4;1;;;;MA
2;1;19.11.18;15;MATH-101(g);Analyse I (g);101466;;1;283365;198;4;792;4;3;;;;MA
2;1;19.11.18;15;MATH-101(f);Analyse I (f);121777;;1;283365;310;4;1240;4;3;;;;MA
2;1;19.11.18;15;MATH-101(en);Analyse I (en);270833;;1;283365;135;4;540;4;3;;;;MA
2;1;19.11.18;15;MATH-101(e) ;Analyse I (e);167946;;1;283365;320;4;1280;4;3;;;;MA
2;1;19.11.18;15;MATH-101(de);Analyse I (de);213191;;1;283365;40;4;160;4;3;;;;MA
2;1;19.11.18;15;MATH-101(d);Analyse I (d);166061;;1;283365;325;4;1300;4;3;;;;MA
2;1;19.11.18;15;MATH-101(c);Analyse I (c);271675;;1;283365;308;4;1232;4;3;;;;MA
2;1;19.11.18;15;MATH-101(a);Analyse I (a);181579;;1;283365;210;4;840;4;3;;;;MA
2;1;18.01.19;15;MATH-234(b);Probabilités et statistiques;NULL;;1;283365;328;28;9184;4;1;;;;MA
2;1;18.01.19;15;BIO-447;Stem cell biology and technolgy;235263,172749,106911;;1;283365;69;1;69;4;1;;;;SV
2;1;17.01.19;15;MATH-251(b);Analyse Numérique;106096;;1;283365;245;24;5880;4;1;;;;MA
2;1;17.01.19;15;CS-433;Machine Learning;124369,276449;;1;283365;505;24;12120;4;1;;;Scan only;IC
2;1;16.11.18;15;MATH-265;Introduction à l’optimisation et la recherche opérationnelle;118332;;1;283365;220;20;4400;4;1;;;Scan only;MA
2;1;16.01.19;15;CH-160;Chimie Générale Avancée;109839;;1;283365;776;20;15520;2;1;;;Archiving impose_exam;CGC
2;1;16.01.19;15;CH-160;Chimie Générale GC;109839;;1;283365;117;16;1872;2;1;;;Archiving impose_exam;CGC
2;1;15.11.18;15;UNIL-114;Mathématiques pour les Géosciences;149640;;1;283365;164;4;656;4;3;;;;UNIL
2;1;15.01.19;15;MATH-203(b);Analyse III;235589;;1;283365;85;12;1020;4;1;;;;MA
2;1;15.01.19;15;MATH-110(b);Algèbre linéaire avancée I;106581;;1;283365;225;16;3600;4;1;;;;MA
2;1;15.01.19;15;MATH-110(a);Algèbre linéaire avancée I;133751;;1;283365;163;24;3912;4;1;;;Open questions only;MA
2;1;15.01.18;15;UNIL-122;Physique expérimental I SFU;104677;;1;283365;228;20;4560;4;1;;;;UNIL
2;1;15.01.18;15;MATH-111(g);Algèbre linéaire (g);149640;;1;283365;180;16;2880;4;1;;;;MA
2;1;14.12.18;15;ME-101/6;Mecanichal construction I MT et ME;NULL,240428;;1;283365;560;1;560;4;1;;;Feuille de réponse;GM
2;1;14.11.18;15;UNIL-130;Mathématiques I SFU – police scientifique;149640;;1;283365;224;4;896;4;3;;;;UNIL
2;1;14.01.19;15;MATH-101(g);Analyse I (g);101466;;1;283365;198;12;2376;4;1;;;;MA
2;1;14.01.19;15;MATH-101(f);Analyse I (f);121777;;1;283365;310;12;3720;4;1;;;;MA
2;1;14.01.19;15;MATH-101(en);Analyse I (en);270833;;1;283365;135;12;1620;4;1;;;;MA
2;1;14.01.19;15;MATH-101(e) ;Analyse I (e);167946;;1;283365;320;12;3840;4;1;;;;MA
2;1;14.01.19;15;MATH-101(de);Analyse I (de);213191;;1;283365;40;12;480;4;1;;;;MA
2;1;14.01.19;15;MATH-101(d);Analyse I (d);166061;;1;283365;325;12;3900;4;1;;;;MA
2;1;14.01.19;15;MATH-101(c);Analyse I (c);271675;;1;283365;308;12;3696;4;1;;;;MA
2;1;14.01.19;15;MATH-101(a);Analyse I (a);181579;;1;283365;210;12;2520;4;1;;;;MA
2;1;14.01.18;15;MATH-111(en);Algèbre linéaire (en);183120;;1;283365;189;16;3024;4;1;;;;MA
2;1;13.01.18;15;MATH-111(pi);Algèbre linéaire (pi);121157;;1;283365;171;16;2736;4;1;;;;MA
2;1;12.11.18;15;MATH-111(pi);Algèbre linéaire (pi);121157;;1;283365;171;4;684;4;3;;;;MA
2;1;12.11.18;15;MATH-111(g);Algèbre linéaire (g);149640;;1;283365;180;4;720;4;3;;;;MA
2;1;12.11.18;15;MATH-111(f);Algèbre linéaire (f);105396;;1;283365;260;4;1040;4;3;;;;MA
2;1;12.11.18;15;MATH-111(en);Algèbre linéaire (en);183120;;1;283365;189;4;756;4;3;;;;MA
2;1;12.11.18;15;MATH-111(e);Algèbre linéaire (d);144617;;1;283365;273;8;2184;4;3;;;;MA
2;1;12.11.18;15;MATH-111(d) ;Algèbre linéaire (c);NULL;;1;283365;270;4;1080;4;3;;;;MA
2;1;12.11.18;15;MATH-111(c);Algèbre linéaire (e);178578;;1;283365;307;4;1228;4;3;;;;MA
2;1;12.11.18;15;MATH-111(a);Algèbre linéaire (a);101466;;1;283365;194;4;776;4;3;;;;MA
2;1;12.01.18;15;MATH-111(c);Algèbre linéaire (e);178578;;1;283365;307;16;4912;4;1;;;;MA
2;1;11.01.18;15;MATH-111(e);Algèbre linéaire (d);144617;;1;283365;273;16;4368;4;1;;;;MA
2;1;10.01.18;15;MATH-111(d) ;Algèbre linéaire (c);NULL;;1;283365;270;16;4320;4;1;;;;MA
2;1;09.01.18;15;MATH-111(f);Algèbre linéaire (f);105396;;1;283365;260;16;4160;4;1;;;;MA
1;2;29.06.18;15;MATH-186;Mathématiques II;104781;;1;283365;172;8;1376;4;1;;;;MA
1;2;28.06.18;15;PREPA-031(b);Mathématiques 1B (pour MAN);106748,101466;;1;283365;729;32;23328;4;1;;;MAN;MAN/CMS
1;2;28.05.18;15;CS-207;Programmation orientée système;112547;;1;283365;213;16;3408;1;1;;;Scan qrcode et génération pdf et liste ;IC
1;2;27.06.18;15;PHYS-218;Physique du Bâtiment IV;NULL;;1;283365;178;12;2136;4;1;;;Scan only;PH
